t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751862.1707895,5024.36,-1925.6,154.4,-37.26,62.5,37.75,5061.62,-1863.1,192.15,5061.62,-1863.1,192.15
1759751862.2307491,5024.36,-1925.6,157.54,-37.26,63.71,37.99,5061.62,-1861.8899999999999,195.53,5061.62,-1861.8899999999999,195.53
1759751862.290717,5023.16,-1924.4,157.06,-37.26,63.71,36.78,5060.42,-1860.69,193.84,5060.42,-1860.69,193.84
1759751862.3512042,5024.36,-1924.4,154.88,-36.06,63.71,36.78,5060.42,-1860.69,191.66,5060.42,-1860.69,191.66
1759751862.4700682,5021.96,-1925.6,153.19,-37.26,62.5,38.24,5059.22,-1863.1,191.43,5059.22,-1863.1,191.43
1759751862.5898678,5020.75,-1923.2,151.25,-37.26,61.3,35.82,5058.01,-1861.9,187.07,5058.01,-1861.9,187.07
1759751862.5908716,5020.75,-1923.2,151.01,-37.26,62.5,36.78,5058.01,-1860.7,187.79,5058.01,-1860.7,187.79
1759751862.650992,5021.96,-1923.2,151.98,-38.46,62.5,38.96,5060.42,-1860.7,190.94,5060.42,-1860.7,190.94
1759751862.7706182,5023.16,-1923.2,149.8,-37.26,63.71,37.51,5060.42,-1859.49,187.31,5060.42,-1859.49,187.31
1759751862.8297138,5020.75,-1922.0,148.35,-36.06,62.5,37.03,5056.81,-1859.5,185.38,5056.81,-1859.5,185.38
1759751862.8905451,5020.75,-1922.0,141.81,-37.26,62.5,38.96,5058.01,-1859.5,180.77,5058.01,-1859.5,180.77
1759751863.010161,5020.75,-1922.0,146.17,-37.26,62.5,37.51,5058.01,-1859.5,183.67999999999998,5058.01,-1859.5,183.67999999999998
1759751863.069916,5020.75,-1922.0,149.8,-37.26,63.71,36.06,5058.01,-1858.29,185.86,5058.01,-1858.29,185.86
1759751863.1303725,5019.55,-1922.0,151.01,-36.06,62.5,39.45,5055.610000000001,-1859.5,190.45999999999998,5055.610000000001,-1859.5,190.45999999999998
1759751863.1902797,5019.55,-1922.0,144.72,-37.26,63.71,38.24,5056.81,-1858.29,182.96,5056.81,-1858.29,182.96
1759751863.3097646,5019.55,-1920.8,147.86,-36.06,62.5,37.51,5055.610000000001,-1858.3,185.37,5055.610000000001,-1858.3,185.37
1759751863.3709106,5018.35,-1919.59,143.75,-38.46,62.5,37.51,5056.81,-1857.09,181.26,5056.81,-1857.09,181.26
1759751863.4308596,5018.35,-1918.39,142.3,-37.26,61.3,39.2,5055.610000000001,-1857.0900000000001,181.5,5055.610000000001,-1857.0900000000001,181.5
1759751863.6100588,5018.35,-1920.8,142.78,-37.26,63.71,38.48,5055.610000000001,-1857.09,181.26,5055.610000000001,-1857.09,181.26
1759751863.611064,5017.15,-1918.39,140.6,-37.26,61.3,37.27,5054.41,-1857.0900000000001,177.87,5054.41,-1857.0900000000001,177.87
1759751863.6706562,5015.95,-1917.19,141.81,-37.26,62.5,37.27,5053.21,-1854.69,179.08,5053.21,-1854.69,179.08
1759751863.7305455,5015.95,-1918.39,141.57,-37.26,63.71,38.72,5053.21,-1854.68,180.29,5053.21,-1854.68,180.29
1759751863.8509407,5017.15,-1917.19,138.67,-36.06,62.5,36.78,5053.21,-1854.69,175.45,5053.21,-1854.69,175.45
1759751863.9109297,5013.54,-1918.39,140.12,-37.26,62.5,38.72,5050.8,-1855.89,178.84,5050.8,-1855.89,178.84
1759751864.0290444,5015.95,-1917.19,138.67,-37.26,62.5,38.24,5053.21,-1854.69,176.91,5053.21,-1854.69,176.91
1759751864.090751,5018.35,-1917.19,140.6,-36.06,62.5,38.48,5054.410000000001,-1854.69,179.07999999999998,5054.410000000001,-1854.69,179.07999999999998
1759751864.150422,5018.35,-1917.19,141.57,-36.06,62.5,36.78,5054.410000000001,-1854.69,178.35,5054.410000000001,-1854.69,178.35
1759751864.2105827,5014.74,-1915.99,138.42,-37.26,63.71,36.78,5052.0,-1852.28,175.2,5052.0,-1852.28,175.2
1759751864.2705617,5014.74,-1917.19,139.39,-36.06,63.71,37.51,5050.8,-1853.48,176.89999999999998,5050.8,-1853.48,176.89999999999998
1759751864.4499378,5014.74,-1915.99,138.67,-38.46,62.5,37.99,5053.2,-1853.49,176.66,5053.2,-1853.49,176.66
